9.054519957693236976e-02,6.911124864131544809e-01,2.207145361448922816e-01,-7.105538122521407041e-02,-2.578704353093124180e-01,-7.196918013542835668e-01
7.481162286033496422e-02,7.664393749097514474e-01,2.064182461840395055e-01,-7.487589956228721255e-02,-2.551580698215611398e-01,-6.941364957461065854e-01
6.855734348724588922e-02,7.873859596605451427e-01,1.995770243343255035e-01,-7.572688317084626253e-02,-2.520672745951659244e-01,-6.789373173996005040e-01
6.763691932584579847e-02,7.772208971462681859e-01,1.969663797933798033e-01,-7.541854332260086724e-02,-2.488857200362819266e-01,-6.696780706630518498e-01
6.669988034750562456e-02,7.670834572128082396e-01,1.944193622142735278e-01,-7.493327137053154563e-02,-2.457402247078497581e-01,-6.607416664250186367e-01
6.582336355143419970e-02,7.570823128879476949e-01,1.918917828480082854e-01,-7.436779670087384497e-02,-2.426279977446662295e-01,-6.520139672855894686e-01
6.496665237751775290e-02,7.472039972079229653e-01,1.893267317678321848e-01,-7.376484771604932544e-02,-2.395442328791622388e-01,-6.434526440832276650e-01
6.409635838237574823e-02,7.374530404337602540e-01,1.868235125276144493e-01,-7.312654114147168483e-02,-2.364983394682403095e-01,-6.350413144320699033e-01
6.322898763724518756e-02,7.278305200823559362e-01,1.843818450672088383e-01,-7.246932690919614950e-02,-2.334924549465944577e-01,-6.267606979149282775e-01
6.238786704688564083e-02,7.184305041545346882e-01,1.819006752791608450e-01,-7.180667265125609267e-02,-2.305165370863672958e-01,-6.185833017431761061e-01
6.157553345231701197e-02,7.090602191568140533e-01,1.794992590607759064e-01,-7.112904115431237240e-02,-2.275784205613361755e-01,-6.105478305652349835e-01
6.066973048602235935e-02,6.999074946793427676e-01,1.771963564867432006e-01,-7.043894102842611360e-02,-2.246817651390126680e-01,-6.025971588116166844e-01
5.983073259701680163e-02,6.908798348158297076e-01,1.748707112074775472e-01,-6.975089978992668471e-02,-2.218139249836527660e-01,-5.947583758411006949e-01
5.906152570587970552e-02,6.819770709805770270e-01,1.725260404587441176e-01,-6.906526379096337986e-02,-2.189751129224188908e-01,-5.870224602635589761e-01
5.825121626753770876e-02,6.730952701865081655e-01,1.703040896006204619e-01,-6.835911254467566533e-02,-2.161756007513732647e-01,-5.793916648072031661e-01
